Number	Order_Group	Species_Name	Final_Status	Status_Confidence	Database_Confidence	Group_Count	Species_Count	Sequence_Count	ML_Distance	ML_Similarity	dN_Distance	dN_Similarity	dS_Distance	dS_Similarity	AA_Distance	AA_Similarity	Ztest_Distance	Ztest_Similarity	dN/dS_Distance	dN/dS_Similarity
120	Coleoptera_Group_25	Ellychnia sp. KSH1376				1	1	2	0.2225277898	0.0381730797	0.0672196168	0.0041095993	0.77005831	0.15511733	0.09320459365	0.00934586	0	3.25E-06	0.08729159328	0.02649348915
121	Coleoptera_Group_26	Philonthus flavibasis	Native	66	50	1	3	1	0.0932694864		0.0120793241		0.38102216		0.0246926126		0		0.03170241883	
122	Coleoptera_Group_27	Philonthus flavibasis	Native	66	50	1	3	1	0.08264338025		0.0041011722		0.36451859		0.0091743763		0		0.01125092742	
123	Coleoptera_Group_28	Philonthus flavibasis	Native	66	50	1	3	2	0.08264338025	0.0015237276	0.0041011722	0	0.36451859	0.00592888	0.0091743763	0	0	0.31789548	0.01125092742	0
124	Coleoptera_Group_29	Phyllophaga anxia	Native	100	100	1	1	1	0.1222961863		0.006164776409		0.61053157		0		0		0.0100973917	
125	Coleoptera_Group_3					0		1	0.2563273011		0.0715251675		1.07333128		0.1058680011		0		0.0666384823	
126	Coleoptera_Group_30	Phyllophaga hirticula	Native	100	100	1	4	1	0.1149944941		0.0061037977		0.57346587		0.0091743763		0		0.01064369829	
127	Coleoptera_Group_31	Phyllophaga hirticula	Native	100	100	1	4	11	0.05767323279	0	0	0	0.26095071	0	0	0	1.64E-12	1	0	
128	Coleoptera_Group_32	Phyllophaga hirticula	Native	100	100	1	4	1	0.05767323279		0		0.26095071		0		9.17E-12		0	
129	Coleoptera_Group_33	Phyllophaga fraterna	Native	100	100	2	1	9	0.06006953922	0.003905041983	0.0002269118667	0.0004539783111	0.27493067	0.01436442	0.0005108565778	0.00102171	3.99E-12	0.31361441	0.0008253421369	0.03160436071
130	Coleoptera_Group_33	Phyllophaga hirticula	Native	100	100	2	4	9	0.06006953922	0.003905041983	0.0002269118667	0.0004539783111	0.27493067	0.01436442	0.0005108565778	0.00102171	3.99E-12	0.31361441	0.0008253421369	0.03160436071
131	Coleoptera_Group_34	Bisnius blandus	Native	33	50	1	1	1	0.1916067714		0.0244371738		0.91658779		0.0230957148		0		0.02666102916	
132	Coleoptera_Group_35	Omonadus floralis	Introduced	33	50	1	1	1	0.1918730546		0.0502630467		0.71849732		0.061195561		0		0.0699557887	
133	Coleoptera_Group_36					0		1	0.1981778959		0.0177824542		1.07882281		0.007648885367		0		0.01648320191	
134	Coleoptera_Group_37					0		1	0.1796325383		0.0228589122		0.85925985		0.0085106897		1.10E-08		0.02660302608	
135	Coleoptera_Group_38	Contacyphon obscurus	Native	100	100	2	1	2	0.1892682279	0.0391691017	0.01383605955	0.0020332103	0.90329138	0.16224594	0.00687552165	0.00457667	0	7.84E-07	0.01531738247	0.01253165595
136	Coleoptera_Group_38	Contacyphon variabilis	Unknown	33	50	2	1	2	0.1892682279	0.0391691017	0.01383605955	0.0020332103	0.90329138	0.16224594	0.00687552165	0.00457667	0	7.84E-07	0.01531738247	0.01253165595
137	Coleoptera_Group_39	Bruchidius villosus	Introduced	100	100	1	1	1	0.2023106626		0.0523806866		0.79352908		0.0521857532		0		0.06600978832	
138	Coleoptera_Group_4	Harmonia axyridis	Introduced	100	100	1	1	5	0.2396788141	0	0.1008029798	0	0.62226491	0	0.1314290064	0	0	1	0.1619936753	
139	Coleoptera_Group_40					0		1	0.1946787355		0.0185194594		1.02772051		0.016529302		0		0.01801993754	
140	Coleoptera_Group_41					0		1	0.1919011175		0.0332004413		0.74037672		0.0324854551		0		0.04484263268	
141	Coleoptera_Group_42	Crepidodera nana	Native	100	100	1	1	1	0.1883745988		0.0558462334		0.72988358		0.0660617507		1.70E-14		0.07651389198	
142	Coleoptera_Group_43					0		1	0.1889182879		0.06018616		0.63723355		0.0663750689		0		0.09444913878	
143	Coleoptera_Group_44					0		3	0.1898124888	0.008169388567	0.0522792224	0	0.64963035	0.03489106	0.0660617507	0	0	0.10999325	0.08047533863	0
144	Coleoptera_Group_45	Popillia japonica	Introduced	100	100	1	1	1	0.1962278744		0.02598433594		0.84086082		0.0230957148		0		0.03090206526	
145	Coleoptera_Group_46	Stelidota octomaculata	Native	100	100	1	1	6	0.1870685677	0.01088044178	0.03749034782	0.0007058205467	0.81885038	0.04425845	0.05220829707	0.00160798	0	0.10519868	0.04578412459	0.01594770144
146	Coleoptera_Group_47	Melanotus hyslopi	Unknown	100		1	1	1	0.1408878859		0.0112938479		0.70336424		0.004576667		0		0.01605689806	
147	Coleoptera_Group_48	Melanotus communis	Unknown	100		1	1	1	0.1408878859		0.0122785826		0.70336424		0.004576667		0		0.01745693327	
148	Coleoptera_Group_49	Platydracus cinnamopterus	Native	66	50	1	1	4	0.1928643641	0.02338416323	0.0143987984	0	0.81251213	0.09948568	0	0	0	0.19289889	0.01772133346	0
149	Coleoptera_Group_5	Dictyoptera aurora	Native	100	100	1	1	1	0.2292116151		0.086234545		0.76550076		0.1263815409		0		0.1126511553	
150	Coleoptera_Group_50					0		1	0.1867500866		0.0235459238		0.83862961		0.016529302		0		0.02807666641	
151	Coleoptera_Group_51					0		2	0.2069593054	0	0.046433463	0	0.7818133	0	0.0521857532	0	0	1	0.05939200958	
152	Coleoptera_Group_52	Ataenius spretulus	Native	100	100	1	1	1	0.2035070162		0.0404203002		0.90081211		0.0515336501		0		0.04487095561	
153	Coleoptera_Group_53					0		1	0.175224868		0.01968368495		0.79843254		0.0184337017		0		0.02465290925	
154	Coleoptera_Group_54	Dermestes lardarius	Introduced	66	50	1	1	1	0.1826500253		0.0447738757		0.72662749		0.0467374779		0		0.06161874732	
155	Coleoptera_Group_55	Telephanus velox	Native	100	100	1	1	1	0.1540304971		0.0381001613		0.58678728		0.0432968058		0		0.06493010772	
156	Coleoptera_Group_56	Stilbus apicialis	Native	33		1	1	1	0.104845966		0.0182072326		0.44982983		0.0184337017		8.08E-13		0.04047582305	
157	Coleoptera_Group_57	Acylomus ergoti	Native	66	50	1	1	1	0.104845966		0.0182072326		0.44982983		0.0184337017		7.41E-12		0.04047582305	
158	Coleoptera_Group_58	Trox scaber	Introduced	66	50	1	1	1	0.1846017142		0.03445487161		0.71323222		0.0372135963		0		0.04830806944	
159	Coleoptera_Group_59	Pedilus lugubris	Unknown	100		1	1	1	0.1900917355		0.0672394169		0.58205817		0.0907543633		0		0.1155200981	
160	Coleoptera_Group_6					0		1	0.2307711596		0.0228589122		1.18609805		0.0085106897		0		0.01927236302	
161	Coleoptera_Group_60	Labarrus cincticulus	Unknown	66		1	1	1	0.1932145984		0.0226977432		0.89476648		0.004576667		0		0.02536722565	
