Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
20,Coleoptera_Group_113,,,,,0,,1,native,0.148367459,,0.0278478191,,0.5678531,,0.025752496099999998,,0.0,,0.049040533719999994,
21,Coleoptera_Group_114,,,,,0,,1,native,0.1464452914,,0.01475232774,,0.66331988,,0.0137933221,,0.0,,0.02224014113,
22,Coleoptera_Group_115,,,,,0,,1,native,0.1268993003,,0.0105154194,,0.5506565,,0.0191393402,,0.0,,0.0190961505,
23,Coleoptera_Group_116,Enochrus ochraceus,native,100.0,100.0,1,1.0,6,native,0.1582811363,0.03514773925,0.01837383968,0.0,0.71289066,0.15864375,0.004576667,0.0,0.0,0.00918969,0.02577371357,0.0
24,Coleoptera_Group_117,Sphaeroderus canadensis,native,100.0,100.0,1,1.0,45,native,0.09015370270999999,0.001323741892,0.0002921402422,0.0004361223067,0.44645525,0.00407698,0.0005085185556,0.00098945,0.0,0.59108894,0.0006543550382999999,0.1069719024
25,Coleoptera_Group_118,Sphaeroderus stenostomus,native,100.0,100.0,1,2.0,2,introduced,0.04116335142,0.0,6.330000000000001e-05,0.0,0.182,0.0,0.00014302084380000003,0.0,1.3e-09,1.0,0.000349,
26,Coleoptera_Group_119,Dineutus nigrior,native,100.0,100.0,1,1.0,2,native,0.13251511,0.0076562339,0.022611662709999997,0.0,0.5368579000000001,0.0324726,0.0230957148,0.0,0.0,0.02483813,0.042118524670000004,0.0
27,Coleoptera_Group_12,Cryptarcha ampla,native,100.0,100.0,1,1.0,1,native,0.21217542469999998,,0.0502200642,,0.78752821,,0.05545419585,,5.65e-14,,0.06376922574,
28,Coleoptera_Group_120,Brachinus fulminatus,native,100.0,100.0,1,1.0,2,native,0.1332686813,0.0472417738,0.02116503045,0.0071186975,0.54496475,0.18324563,0.023668187169999997,0.00917438,0.0,4.5700000000000003e-07,0.03883743022,0.038847843189999995
29,Coleoptera_Group_121,Notiophilus aeneus,native,100.0,100.0,1,1.0,16,native,0.13267132980000002,0.004038004581,0.01561769256,0.0005114804024999999,0.59695891,0.01494736,0.012089720120000001,0.00115329,0.0,0.36365417,0.02616208972,0.0342187786
30,Coleoptera_Group_122,Platynus decentis,native,100.0,100.0,1,1.0,8,native,0.12922751470000002,0.004488408861,0.0070752712749999995,0.0,0.61877623,0.01883873,0.004587335263,0.0,0.0,0.29931025,0.01143429714,0.0
31,Coleoptera_Group_123,,,,,0,,1,native,0.101246104,,0.0222989398,,0.40584823,,0.0137933221,,0.0,,0.0549440361,
32,Coleoptera_Group_124,Dyschirius dejeanii,native,100.0,100.0,1,1.0,1,native,0.101246104,,0.0222989398,,0.40584823,,0.0137933221,,1.73e-12,,0.0549440361,
33,Coleoptera_Group_125,Bembidion immaturum,native,100.0,100.0,1,1.0,1,native,0.12492354900000001,,0.0112252721,,0.49110119999999996,,0.0092383845,,0.0,,0.022857350180000003,
34,Coleoptera_Group_126,Carabus goryi,native,100.0,100.0,2,1.0,16,native,0.14402626470000002,0.003377783783,0.008282967334,0.00017839246330000002,0.74569614,0.01336365,0.007349023183,0.0004022,3.03e-11,0.47134616,0.01110769775,0.01334908227
35,Coleoptera_Group_126,Carabus nemoralis,introduced,100.0,100.0,2,2.0,16,native,0.14402626470000002,0.003377783783,0.008282967334,0.00017839246330000002,0.74569614,0.01336365,0.007349023183,0.0004022,3.03e-11,0.47134616,0.01110769775,0.01334908227
36,Coleoptera_Group_127,Clivina americana,native,66.0,50.0,1,1.0,2,introduced,0.1166765715,0.0,0.0162939199,0.0,0.50834066,0.0,0.0,0.0,4.03e-14,1.0,0.03205315093,
37,Coleoptera_Group_128,,,,,0,,1,native,0.12454054630000001,,0.01104961096,,0.63334848,,0.009482551178,,0.0,,0.01744633691,
38,Coleoptera_Group_129,Calosoma frigidum,native,100.0,100.0,1,1.0,1,native,0.1207530584,,0.008130160899999999,,0.60272604,,0.0092166551,,0.0,,0.013488982319999999,
39,Coleoptera_Group_13,Judolia cordifera,native,100.0,100.0,1,1.0,1,native,0.21149873789999998,,0.046433463,,0.88125111,,0.0660617507,,0.0,,0.0526903881,
40,Coleoptera_Group_130,Carabus nemoralis,introduced,100.0,100.0,1,2.0,17,introduced,0.1154787238,0.0,0.007192848689,0.0,0.58038448,0.0,0.004730008939,0.0,0.0,1.0,0.012393247820000002,
41,Coleoptera_Group_131,Carabus serratus,native,100.0,100.0,1,1.0,18,native,0.1154787238,0.0016645829130000002,0.007192848689,0.0,0.58038448,0.00683118,0.004730008939,0.0,0.0,0.53787981,0.012393247820000002,0.0
42,Coleoptera_Group_132,Habrocerus capillaricornis,introduced,100.0,50.0,1,1.0,1,native,0.1562473157,,0.0326681588,,0.60379253,,0.025752496099999998,,0.0,,0.05410494032,
43,Coleoptera_Group_133,,,,,0,,2,native,0.1241109747,0.0015231132999999999,0.020988823250000004,0.0,0.4899492999999999,0.00632915,0.0230957148,0.0,0.0,0.31779923,0.04283876566000001,0.0
44,Coleoptera_Group_134,Trechus apicalis,native,66.0,100.0,1,1.0,2,native,0.1247659666,0.0015231132999999999,0.0195935025,0.0,0.5310427,0.006410300000000001,0.0137933221,0.0,0.0,0.31777972,0.03689628442,0.0
45,Coleoptera_Group_135,,,,,0,,3,introduced,0.1241109747,0.0,0.02318865637,0.0,0.4899492999999999,0.0,0.0196559168,0.0,3.09e-14,1.0,0.04732868557,
46,Coleoptera_Group_136,Tachys scitulus,native,100.0,100.0,1,1.0,1,native,0.1268993003,,0.0105154194,,0.57965038,,0.01856291735,,0.0,,0.018140968700000003,
47,Coleoptera_Group_137,Clivina dentipes,native,100.0,100.0,1,1.0,1,native,0.1252772704,,0.0162939199,,0.48238612,,0.0,,0.0,,0.03377775443,
48,Coleoptera_Group_138,,,,,0,,1,native,0.1202569335,,0.01354368539,,0.51902544,,0.0137933221,,0.0,,0.02609445384,
49,Coleoptera_Group_139,Coptotomus longulus,native,100.0,100.0,1,1.0,1,native,0.12196367960000001,,0.01580995226,,0.52013931,,0.01362660976,,0.0,,0.03039561124,
50,Coleoptera_Group_14,,,,,0,,1,native,0.2392623787,,0.07234519959999999,,0.81452513,,0.0957669051,,0.0,,0.0888188675,
51,Coleoptera_Group_140,Oxypselaphus pusillus,native,100.0,100.0,1,1.0,2,introduced,0.1129351503,0.0,0.013153794199999999,0.0,0.50496183,0.0,0.00976858165,0.0,0.0,1.0,0.02604908613,
52,Coleoptera_Group_141,,,,,0,,1,native,0.10973769859999999,,0.008130160899999999,,0.46955789,,0.0092166551,,0.0,,0.01731450173,
53,Coleoptera_Group_142,Syntomus americanus,native,100.0,100.0,1,1.0,7,introduced,0.1102653362,0.0009686495476000001,0.01332152676,0.0,0.48216409,0.00406726,0.017245826409999998,0.0,0.0,0.75913071,0.027628616569999997,0.0
54,Coleoptera_Group_143,Calathus ingratus,native,100.0,100.0,1,1.0,14,native,0.1330720708,0.001070387415,0.01141351348,0.0002189313516,0.56454193,0.00368894,0.01396965149,0.00049466,0.0,0.61739553,0.02021729986,0.05934803808999999
55,Coleoptera_Group_144,Stenolophus ochropezus,native,100.0,100.0,1,1.0,3,native,0.08876324343,0.001016732067,0.0020140999,0.0,0.43029696,0.00416669,0.0,0.0,0.0,0.54521217,0.004680720728,0.0
56,Coleoptera_Group_145,Stenolophus comma,native,100.0,100.0,1,1.0,1,native,0.0700506412,,0.0,,0.33232904,,0.0,,3.34e-14,,0.0,
57,Coleoptera_Group_146,Stenolophus lineola,native,100.0,100.0,1,1.0,1,native,0.0700506412,,0.0,,0.33232904,,0.0,,3.42e-14,,0.0,
58,Coleoptera_Group_147,Chlaenius emarginatus,native,100.0,100.0,1,1.0,12,native,0.1113085864,0.006229890508,0.02091083838,0.0006089026515,0.40123212,0.02419029,0.01975510876,0.00138687,5.22e-13,0.10243399,0.052116561289999995,0.02517136634
59,Coleoptera_Group_148,Dicaelus politus,native,100.0,100.0,2,1.0,10,native,0.10654875119999999,0.001344598851,0.013291151090000002,0.0,0.46373486,0.00553117,0.012089720120000001,0.0,1.83e-14,0.55169462,0.02866109977,0.0
60,Coleoptera_Group_148,Poecilus lucublandus,native,100.0,100.0,2,3.0,10,native,0.10654875119999999,0.001344598851,0.013291151090000002,0.0,0.46373486,0.00553117,0.012089720120000001,0.0,1.83e-14,0.55169462,0.02866109977,0.0
61,Coleoptera_Group_149,Cymindis limbata,native,66.0,50.0,1,1.0,7,native,0.05854924784,0.0050971533519999996,0.0002967069048,0.0005756503429,0.27548932,0.01938144,0.0006538095714,0.00130762,8.69e-12,0.20116320000000001,0.001077017812,0.029701113169999998
62,Coleoptera_Group_15,,,,,0,,1,native,0.2215117192,,0.0712079599,,0.62258144,,0.1008046991,,4.450000000000001e-12,,0.11437533359999999,
63,Coleoptera_Group_150,Cymindis platicollis,native,100.0,100.0,1,1.0,3,native,0.05854924784,0.0179034325,0.0002967069048,0.0,0.27548932,0.07634995,0.0,0.0,2.33e-12,0.00276847,0.001077017812,0.0
64,Coleoptera_Group_151,Myas cyanescens,native,100.0,100.0,1,1.0,15,native,0.1200633679,0.001051899381,0.01379361899,0.0,0.52213396,0.00392543,0.01928235107,0.0,0.0,0.64033339,0.02641777791,0.0
65,Coleoptera_Group_152,,,,,0,,1,native,0.11496785949999999,,0.0152444273,,0.48128397,,0.014381333630000001,,0.0,,0.031674496239999995,
66,Coleoptera_Group_153,Synuchus impunctatus,native,100.0,100.0,1,3.0,191,native,0.127225408,0.0037591360019999997,0.013581061819999999,0.0005215910562,0.51766417,0.01391385,0.015770058830000003,0.00113394,5.89e-14,0.35331709,0.026235274930000003,0.03748718408
67,Coleoptera_Group_154,Cymindis neglecta,native,100.0,100.0,1,1.0,20,native,0.06779485567,0.015558761499999999,0.00012210023000000002,0.0002614410263,0.32493074,0.0661177,0.00027700902,0.00059224,1.29e-08,0.08678961,0.0003757730955,0.003954176057
68,Coleoptera_Group_155,,,,,0,,1,native,0.05275385471,,0.00012210023000000002,,0.23807982,,0.0,,2.56e-10,,0.0005128541764,
69,Coleoptera_Group_156,Olisthopus parmatus,native,100.0,100.0,1,1.0,2,native,0.1027891457,0.0017114957999999998,0.005303290600000001,0.0,0.44368417,0.00717709,0.002002291813,0.0,1.77e-13,0.31759537,0.01195285061,0.0
70,Coleoptera_Group_157,Scaphinotus viduus,native,100.0,100.0,1,1.0,3,introduced,0.130085902,0.0,0.0073010142839999995,0.0,0.56029261,0.0,0.004576667,0.0,0.0,1.0,0.01303071673,
71,Coleoptera_Group_158,,,,,0,,1,native,0.09922973619999999,,0.008102712199999999,,0.43709934,,0.004576667,,1.59e-14,,0.01853746153,
72,Coleoptera_Group_159,Amara lunicollis,native,66.0,50.0,1,1.0,5,introduced,0.1021013614,0.00060924532,0.01253358354,0.0008021395200000001,0.3889373,0.0,0.01038738816,0.00183067,3.6700000000000005e-13,0.72753587,0.03222520323999999,
73,Coleoptera_Group_16,Nicrophorus orbicollis,native,100.0,100.0,1,1.0,1,native,0.2083633613,,0.050245502000000004,,0.89131214,,0.0660617507,,0.0,,0.05637250941000001,
74,Coleoptera_Group_160,,,,,0,,1,native,0.09112370980000001,,0.006050453000000001,,0.43276359,,0.004682934604,,0.0,,0.01398096591,
75,Coleoptera_Group_161,Apenes lucidula lucidula,native,33.0,,1,1.0,8,native,0.09844307373,0.001218961118,0.0077124704229999995,0.0,0.41860197,0.00513277,0.002002291813,0.0,6.1700000000000006e-12,0.58141537,0.01842435291,0.0
76,Coleoptera_Group_162,Agonum gratiosum,native,100.0,100.0,1,1.0,6,native,0.08314715433999999,0.00183154772,0.0041167356229999995,0.0,0.39321907,0.007627299999999999,0.0,0.0,5.82e-13,0.49436166,0.01046931834,0.0
77,Coleoptera_Group_163,Agonum retractum,native,100.0,100.0,1,1.0,26,native,0.08314715433999999,0.002199895017,0.0041167356229999995,0.0,0.39321907,0.00910906,0.004682934604,0.0,2.5499999999999997e-13,0.48966143,0.01046931834,0.0
78,Coleoptera_Group_164,Anisodactylus rusticus,native,100.0,100.0,1,1.0,1,native,0.0952054326,,0.0060565605000000005,,0.43709934,,0.004576667,,0.0,,0.013856256340000001,
79,Coleoptera_Group_165,Agonoleptus conjunctus,native,100.0,100.0,1,1.0,1,native,0.0959800899,,0.0070826833,,0.36914366,,0.0091743763,,0.0,,0.01918679384,
80,Coleoptera_Group_166,Gastrellarius honestus,native,100.0,100.0,1,1.0,4,native,0.09443642242999999,0.0008094361332999999,0.011939560679999999,0.0,0.40505905,0.003351,0.007773476109,0.0,3.79e-13,0.65885479,0.029476099060000004,0.0
81,Coleoptera_Group_167,,,,,0,,1,native,0.09001635085000001,,0.002015453,,0.41538226,,0.0,,0.0,,0.004852043994,
82,Coleoptera_Group_168,Pterostichus coracinus,native,100.0,100.0,2,3.0,60,introduced,0.07723642372,0.0008044961844999999,0.01029855642,0.0005336025811,0.33041912,0.00167459,0.009643875632,0.00122071,1.86e-12,0.80794811,0.031168161269999998,0.31864670230000003
83,Coleoptera_Group_168,Pterostichus rostratus,native,100.0,100.0,2,1.0,60,introduced,0.07723642372,0.0008044961844999999,0.01029855642,0.0005336025811,0.33041912,0.00167459,0.009643875632,0.00122071,1.86e-12,0.80794811,0.031168161269999998,0.31864670230000003
84,Coleoptera_Group_169,Pterostichus adoxus,native,100.0,100.0,2,2.0,26,introduced,0.02723855723,0.00033252319260000006,0.00169803603,0.0,0.11331895,0.00139562,0.00012281410909999998,0.0,2.11e-06,0.85626705,0.01498457257,0.0
85,Coleoptera_Group_169,Pterostichus coracinus,native,100.0,100.0,2,3.0,26,introduced,0.02723855723,0.00033252319260000006,0.00169803603,0.0,0.11331895,0.00139562,0.00012281410909999998,0.0,2.11e-06,0.85626705,0.01498457257,0.0
86,Coleoptera_Group_17,Podabrus flavicollis,native,66.0,50.0,1,1.0,2,introduced,0.11299618619999999,0.0,0.0060261456,0.0,0.58721864,0.0,0.0,0.0,0.0,1.0,0.01026218378,
87,Coleoptera_Group_170,Pterostichus luctuosus,native,100.0,100.0,1,1.0,1,native,0.0701816093,,0.0100875764,,0.28999183,,0.0091743763,,1.64e-11,,0.0347857262,
88,Coleoptera_Group_171,Pterostichus lachrymosus,native,100.0,100.0,1,1.0,15,introduced,0.054611159789999995,0.0,0.002052224235,0.0,0.24468982,0.0,0.0,0.0,2.76e-10,1.0,0.008387043790000001,
89,Coleoptera_Group_172,Poecilus lucublandus,native,100.0,100.0,1,3.0,8,native,0.08212263516,0.006444636607,0.011540144009999998,0.0005009554821,0.34406244,0.02580073,0.00950794913,0.00114492,9.050000000000001e-13,0.16947721,0.033540842200000004,0.01941632978
90,Coleoptera_Group_173,Pterostichus mutus,native,100.0,100.0,1,1.0,16,native,0.07740851489,0.001373567725,0.009398346928,0.0,0.31958034,0.00482634,0.009543601668,0.0,2.8e-11,0.65708395,0.02940840143,0.0
91,Coleoptera_Group_174,Pterostichus adstrictus,native,66.0,100.0,1,1.0,8,introduced,0.03191028303,0.0007392694964,0.0021904830609999998,0.0,0.13272239,0.0030779,0.00492966698,0.0,1.12e-06,0.68323042,0.016504246650000002,0.0
92,Coleoptera_Group_175,,,,,0,,1,native,0.09037037322000001,,0.009103281,,0.37185993,,0.0138570347,,1.6299999999999997e-12,,0.02448040315,
93,Coleoptera_Group_176,Notiobia terminata,native,66.0,100.0,1,1.0,1,native,0.08326521107999998,,0.0060545233,,0.37224850000000004,,0.004576667,,0.0,,0.01626473525,
94,Coleoptera_Group_177,Harpalus pensylvanicus,native,100.0,100.0,1,1.0,2,introduced,0.0624240079,0.0,0.013144926999999999,0.0,0.24012565,0.0,0.0230957148,0.0,2.27e-09,1.0,0.05474186952000001,
95,Coleoptera_Group_178,Harpalus faunus,native,100.0,100.0,1,1.0,1,native,0.0624240079,,0.0068209236,,0.24012565,,0.010363632579999999,,2.38e-10,,0.028405643460000005,
96,Coleoptera_Group_179,Anisodactylus discoideus,native,100.0,100.0,1,1.0,1,native,0.06282373929,,0.0060545233,,0.26396366,,0.004576667,,2.4899999999999997e-10,,0.02293695769,
97,Coleoptera_Group_18,Podabrus rugosulus,native,66.0,50.0,1,1.0,2,native,0.11299618619999999,0.0015231132999999999,0.0060261456,0.0,0.58721864,0.00632915,0.0,0.0,2.34e-13,0.31779923,0.01026218378,0.0
98,Coleoptera_Group_180,Trichotichnus autumnalis,native,100.0,100.0,1,1.0,10,native,0.06282373929,0.002623708764,0.0068209236,0.001168448622,0.26396366,0.00710701,0.00564753335,0.00182557,4.0000000000000004e-11,0.46307701,0.025840388790000002,0.16440790460000002
99,Coleoptera_Group_181,Agonum ferreum,native,100.0,100.0,1,1.0,2,native,0.08877729445,0.0015231132999999999,0.0040268553,0.0,0.4100142,0.00631583,0.0,0.0,1.74e-14,0.31780243,0.009821258142,0.0
100,Coleoptera_Group_182,Platynus cincticollis,native,100.0,100.0,1,1.0,1,native,0.08387941665,,0.007051764499999999,,0.3526608,,0.004587335263,,9.279999999999999e-13,,0.01999588415,
101,Coleoptera_Group_183,Agonum mutatum,native,100.0,100.0,1,2.0,2,native,0.07310040829,0.0030495898,0.002015453,0.0,0.33970277,0.01250029,0.0,0.0,0.0,0.15731287,0.005932989596,0.0
102,Coleoptera_Group_184,Agonum moerens,native,100.0,100.0,2,1.0,22,native,0.07310040829,0.01356801382,0.0023855992639999998,0.0006279822545,0.33970277,0.05703203,0.0008321212727000001,0.00142649,0.0,0.11155015,0.007022607627,0.0110110451
103,Coleoptera_Group_184,Agonum mutatum,native,100.0,100.0,2,2.0,22,native,0.07310040829,0.01356801382,0.0023855992639999998,0.0006279822545,0.33970277,0.05703203,0.0008321212727000001,0.00142649,0.0,0.11155015,0.007022607627,0.0110110451
104,Coleoptera_Group_185,Sphaeroderus stenostomus,native,100.0,100.0,1,2.0,64,native,0.04116335142,0.001918915275,6.330000000000001e-05,0.0001263681472,0.182,0.00740168,0.00014302084380000003,0.00028543,5.03e-10,0.43585827,0.000349,0.01707290064
105,Coleoptera_Group_186,Cymindis cribricollis,native,100.0,100.0,2,1.0,23,native,0.05275385471,0.0038135016139999997,0.00012349226779999998,0.0,0.23807982,0.01594487,0.0,0.0,4.19e-10,0.31278888,0.0005187011139,0.0
106,Coleoptera_Group_186,Synuchus impunctatus,native,100.0,100.0,2,3.0,23,native,0.05275385471,0.0038135016139999997,0.00012349226779999998,0.0,0.23807982,0.01594487,0.0,0.0,4.19e-10,0.31278888,0.0005187011139,0.0
107,Coleoptera_Group_187,Pterostichus adoxus,native,100.0,100.0,2,2.0,112,native,0.02723855723,0.002622599685,0.00169803603,0.0005775482406,0.11331895,0.00908891,0.00012281410909999998,0.00024461,2.2699999999999998e-07,0.62317715,0.01498457257,0.06354427985000001
108,Coleoptera_Group_187,Pterostichus tristis,native,100.0,100.0,2,1.0,112,native,0.02723855723,0.002622599685,0.00169803603,0.0005775482406,0.11331895,0.00908891,0.00012281410909999998,0.00024461,2.2699999999999998e-07,0.62317715,0.01498457257,0.06354427985000001
109,Coleoptera_Group_188,Pterostichus coracinus,native,100.0,100.0,1,3.0,34,native,0.054611159789999995,0.001377337321,0.002052224235,0.0,0.24468982,0.0057399999999999994,0.0,0.0,2.68e-11,0.59538721,0.008387043790000001,0.0
110,Coleoptera_Group_189,Poecilus lucublandus,native,100.0,100.0,3,3.0,48,introduced,0.03191028303,0.0005493875388,0.0021904830609999998,0.000169080916,0.13272239,0.00172801,0.004793649427,0.00038357,1.7899999999999997e-07,0.77443862,0.016504246650000002,0.09784718604
111,Coleoptera_Group_189,Pterostichus pensylvanicus,native,100.0,100.0,3,1.0,48,introduced,0.03191028303,0.0005493875388,0.0021904830609999998,0.000169080916,0.13272239,0.00172801,0.004793649427,0.00038357,1.7899999999999997e-07,0.77443862,0.016504246650000002,0.09784718604
112,Coleoptera_Group_189,Synuchus impunctatus,native,100.0,100.0,3,3.0,48,introduced,0.03191028303,0.0005493875388,0.0021904830609999998,0.000169080916,0.13272239,0.00172801,0.004793649427,0.00038357,1.7899999999999997e-07,0.77443862,0.016504246650000002,0.09784718604
113,Coleoptera_Group_19,Dichelonyx albicollis,native,100.0,100.0,1,1.0,1,native,0.204628445,,0.0333968216,,0.95175094,,0.0230957148,,0.0,,0.03508987508999999,
114,Coleoptera_Group_2,Dryophthorus americanus,,100.0,,1,1.0,2,native,0.2769997855,0.0045835717,0.083904138,0.0,1.09796889,0.01879013,0.11607217130000001,0.0,0.0,0.08296107,0.07641759139,0.0
115,Coleoptera_Group_20,Myosides seriehispidus,introduced,33.0,50.0,1,1.0,1,native,0.1934212622,,0.038231417000000004,,0.85925985,,0.0419641991,,0.0,,0.044493428849999996,
116,Coleoptera_Group_21,Tetartopeus furvulus,native,66.0,50.0,1,1.0,1,native,0.20800053010000003,,0.0406813723,,0.78729204,,0.037740328,,0.0,,0.05167253095,
117,Coleoptera_Group_22,,,,,0,,1,native,0.21242209059999997,,0.0361764924,,0.95479663,,0.0467374779,,0.0,,0.03788921249,
118,Coleoptera_Group_23,,,,,0,,2,native,0.2134740879,0.0030483589,0.0422647024,0.0,0.93040105,0.01265853,0.0611544232,0.0,0.0,0.15728043,0.045426327069999994,0.0
119,Coleoptera_Group_24,,,,,0,,2,native,0.1981816199,0.0091856196,0.01383605955,0.0,1.18637931,0.03735212,0.006875521650000001,0.0,0.0,0.01394118,0.01166242485,0.0
120,Coleoptera_Group_25,Ellychnia sp. KSH1376,,,,1,1.0,2,native,0.22252778980000001,0.0381730797,0.06721961679999999,0.0041095993,0.77005831,0.15511733,0.09320459365,0.00934586,0.0,3.25e-06,0.08729159328,0.02649348915
121,Coleoptera_Group_26,Philonthus flavibasis,native,66.0,50.0,1,3.0,1,native,0.0932694864,,0.012079324099999999,,0.38102216,,0.024692612599999997,,0.0,,0.03170241883,
122,Coleoptera_Group_27,Philonthus flavibasis,native,66.0,50.0,1,3.0,1,native,0.08264338025000001,,0.004101172199999999,,0.36451859,,0.0091743763,,0.0,,0.011250927420000001,
123,Coleoptera_Group_28,Philonthus flavibasis,native,66.0,50.0,1,3.0,2,native,0.08264338025000001,0.0015237276,0.004101172199999999,0.0,0.36451859,0.00592888,0.0091743763,0.0,0.0,0.31789548,0.011250927420000001,0.0
124,Coleoptera_Group_29,Phyllophaga anxia,native,100.0,100.0,1,1.0,1,native,0.12229618630000001,,0.006164776409,,0.61053157,,0.0,,0.0,,0.0100973917,
125,Coleoptera_Group_3,,,,,0,,1,native,0.2563273011,,0.0715251675,,1.07333128,,0.1058680011,,0.0,,0.06663848230000001,
126,Coleoptera_Group_30,Phyllophaga hirticula,native,100.0,100.0,1,4.0,1,native,0.1149944941,,0.0061037977,,0.57346587,,0.0091743763,,0.0,,0.010643698290000001,
127,Coleoptera_Group_31,Phyllophaga hirticula,native,100.0,100.0,1,4.0,11,introduced,0.05767323279,0.0,0.0,0.0,0.26095071,0.0,0.0,0.0,1.64e-12,1.0,0.0,
128,Coleoptera_Group_32,Phyllophaga hirticula,native,100.0,100.0,1,4.0,1,native,0.05767323279,,0.0,,0.26095071,,0.0,,9.169999999999999e-12,,0.0,
129,Coleoptera_Group_33,Phyllophaga fraterna,native,100.0,100.0,2,1.0,9,native,0.06006953922,0.0039050419829999997,0.00022691186669999999,0.0004539783111,0.27493067,0.01436442,0.0005108565778,0.00102171,3.99e-12,0.31361441,0.0008253421369000001,0.03160436071
130,Coleoptera_Group_33,Phyllophaga hirticula,native,100.0,100.0,2,4.0,9,native,0.06006953922,0.0039050419829999997,0.00022691186669999999,0.0004539783111,0.27493067,0.01436442,0.0005108565778,0.00102171,3.99e-12,0.31361441,0.0008253421369000001,0.03160436071
131,Coleoptera_Group_34,Bisnius blandus,native,33.0,50.0,1,1.0,1,native,0.19160677140000001,,0.0244371738,,0.91658779,,0.0230957148,,0.0,,0.02666102916,
